"Player","team","pos","base"
"Justin Bethel","NE","CB","$1,500,000"
"DeAndre Hopkins","ARI","WR","$1,500,000"
"David Mayo","NYG","ILB","$1,500,000"
"Cameron Fleming","NYG","RT","$1,500,000"
"Carlos Hyde","SEA","RB","$1,500,000"
"Dennis Kelly","TEN","RT","$1,500,000"
"Jimmie Ward","SF","FS","$1,500,000"
"D.J. Moore","CAR","WR","$1,495,574"
"Hayden Hurst","ATL","TE","$1,483,275"
"Joe Dahl","DET","G","$1,475,000"
"Calvin Ridley","ATL","WR","$1,470,974"
"B.J. Finney","CIN","C","$1,470,588"
"Rashaad Penny","SEA","RB","$1,458,676"
"Avery Williamson","PIT","ILB","$1,455,885"
"Terrell Edmunds","PIT","SS","$1,452,526"
"La'el Collins","DAL","RT","$1,450,000"
"Kevin King","GB","CB","$1,430,575"
"Cam Robinson","JAC","LT","$1,422,022"
"Taven Bryan","JAC","DT","$1,403,178"
"T.J. Yeldon","BUF","RB","$1,400,000"
"Mason Crosby","GB","K","$1,400,000"
"Denzelle Good","LV","RT","$1,400,000"
"Ed Oliver","BUF","DT","$1,389,325"
"Carson Wentz","PHI","QB","$1,383,000"
"Mike Hughes","MIN","CB","$1,377,044"
"Chris Reed","CAR","C","$1,375,000"
"Tyler Shatley","JAC","G","$1,375,000"
"Forrest Lamp","LAC","G","$1,374,125"
"Austin Johnson","NYG","DE","$1,362,500"
"Brandon Graham","PHI","DE","$1,360,000"
"Marcus Maye","NYJ","FS","$1,358,733"
"Sony Michel","NE","RB","$1,355,154"
"Devin Bush","PIT","ILB","$1,352,808"
"Mark Nzeocha","SF","OLB","$1,350,000"
"Lamar Jackson","BAL","QB","$1,341,059"
"Zay Jones","LV","WR","$1,339,522"
"Marcus Williams","NO","SS","$1,315,969"
"Senio Kelemete","HOU","G","$1,300,000"
"DeVante Parker","MIA","WR","$1,300,000"
"Daryl Williams","BUF","G","$1,300,000"
"Beau Allen","NE","DT","$1,300,000"
"Andre Roberts","BUF","WR","$1,300,000"
"Tyler Larsen","CAR","C","$1,300,000"
"Cedric Ogbuehi","SEA","RT","$1,300,000"
"Vinny Curry","PHI","DE","$1,300,000"
"Jonah Williams","CIN","LT","$1,296,371"
"Gerald Everett","LAR","TE","$1,289,246"
"Adam Shaheen","MIA","TE","$1,270,982"
"Deon Bush","CHI","S","$1,262,500"
"Dion Dawkins","BUF","LT","$1,250,441"
"Kerry Hyder","SF","DE","$1,250,000"
"Ezekiel Ansah","SF","DE","$1,250,000"
"Chase Daniel","DET","QB","$1,250,000"
"Bryan Anger","HOU","P","$1,250,000"
"Chad Henne","KC","QB","$1,250,000"
"Ryan Smith","TB","CB","$1,250,000"
"Adrian Phillips","NE","FS","$1,250,000"
"Ronald Darby","WAS","CB","$1,250,000"
"Logan Thomas","WAS","TE","$1,250,000"
"Bryce Callahan","DEN","CB","$1,250,000"
"Christian Covington","CIN","DE","$1,250,000"
"Brandon Brooks","PHI","G","$1,250,000"
"Cameron Erving","DAL","G","$1,250,000"
"Greg Zuerlein","DAL","K","$1,250,000"
"Jack Doyle","IND","TE","$1,250,000"
"Tyus Bowser","BAL","OLB","$1,225,310"
"Levine Toilolo","NYG","TE","$1,225,000"
"Curtis Samuel","CAR","WR","$1,220,044"
"Rashan Gary","GB","OLB","$1,216,696"
"Jalen Ramsey","LAR","CB","$1,203,000"
"Le'Raven Clark","IND","RT","$1,200,000"
"Mike Iupati","SEA","G","$1,200,000"
"Christian Wilkins","MIA","DE","$1,196,777"
"Ryan Anderson","WAS","DE","$1,191,099"
"Deshaun Watson","HOU","QB","$1,177,123"
"Austin Corbett","LAR","G","$1,163,490"
"Chris Lindstrom","ATL","G","$1,161,503"
"Ryan Griffin","NYJ","TE","$1,160,000"
"Tre Boston","CAR","FS","$1,160,000"
"Will Hernandez","NYG","G","$1,157,340"
"DeMarcus Walker","DEN","DE","$1,156,890"
"Nick Chubb","CLE","RB","$1,151,190"
"Demetrius Harris","CHI","TE","$1,150,000"
"Andy Janovich","CLE","FB","$1,150,000"
